EXERCISE,CALL_BID x CALL_ASK,CALL_VOLUMEN,CALL_INTERES_ABIERTO,CALL_DELTA,CALL_GAMMA,CALL_VEGA,CALL_THETA,PUT_BID x PUT_ASK,PUT_VOLUMEN,PUT_INTERES_ABIERTO,PUT_DELTA,PUT_GAMMA,PUT_VEGA,PUT_THETA
210,481.79 x 484.38,30,67,1.000,0.000,0.000,-0.032,x 0.01,240,22000,0.000,0.000,0.000,0.000
215,476.79 x 479.38,,1,1.000,0.000,0.000,-0.030,x 0.01,,8920,0.000,0.000,0.000,0.000
220,471.74 x 474.39,,5,1.000,0.000,0.000,-0.031,x 0.01,,14900,0.000,0.000,0.000,0.000
225,466.82 x 469.41,, ,1.000,0.000,0.000,-0.031,x 0.01,,11100,0.000,0.000,0.000,0.000
230,461.82 x 464.41,,7,1.000,0.000,0.000,-0.032,x 0.01,,2700,0.000,0.000,0.000,0.000
235,456.82 x 459.42,2,5,1.000,0.000,0.000,-0.033,x 0.01,,5100,0.000,0.000,0.000,0.000
240,451.79 x 454.42,,8,1.000,0.000,0.000,-0.033,x 0.01,,4740,0.000,0.000,0.000,0.000
245,446.85 x 449.42,, ,1.000,0.000,0.000,-0.034,x 0.01,,1900,0.000,0.000,0.000,0.000
250,441.85 x 444.44,,34,1.000,0.000,0.000,-0.036,x 0.01,100,2990,0.000,0.000,0.000,0.000
255,436.85 x 439.43,,3,1.000,0.000,0.000,-0.035,x 0.01,,5370,0.000,0.000,0.000,0.000
260,431.77 x 434.45,,2,1.000,0.000,0.000,-0.035,x 0.01,,4460,0.000,0.000,0.000,0.000
265,426.81 x 429.45,, ,1.000,0.000,0.000,-0.036,x 0.01,,876,0.000,0.000,0.000,0.000
270,421.85 x 424.47,,1,1.000,0.000,0.000,-0.037,x 0.01,,1360,0.000,0.000,0.000,0.000
275,416.78 x 419.47,,2,1.000,0.000,0.000,-0.037,x 0.01,,2680,0.000,0.000,0.000,0.000
280,411.89 x 414.49,,7,1.000,0.000,0.000,-0.038,x 0.01,,2060,0.000,0.000,0.000,0.000
285,406.89 x 409.48,,1,1.000,0.000,0.000,-0.038,x 0.01,,1560,0.000,0.000,0.000,0.000
290,401.89 x 404.48,, ,1.000,0.000,0.000,-0.039,x 0.01,,1320,0.000,0.000,0.000,0.000
295,396.85 x 399.48,, ,1.000,0.000,0.000,-0.039,x 0.01,,6220,0.000,0.000,0.000,0.000
300,391.92 x 394.50,2,52,1.000,0.000,0.000,-0.040,x 0.01,100,11700,0.000,0.000,0.000,0.000
305,386.92 x 389.51,,9,1.000,0.000,0.000,-0.041,x 0.01,,6010,0.000,0.000,0.000,0.000
310,381.92 x 384.51,,8,1.000,0.000,0.000,-0.041,x 0.01,,2500,0.000,0.000,0.000,0.000
315,376.92 x 379.51,,7,1.000,0.000,0.000,-0.042,x 0.01,,4600,0.000,0.000,0.000,0.000
320,371.89 x 374.53,,43,1.000,0.000,0.000,-0.042,x 0.01,,7710,0.000,0.000,0.000,0.000
325,366.95 x 369.54,,26,1.000,0.000,0.000,-0.043,x 0.01,,8890,0.000,0.000,0.000,0.000
330,361.95 x 364.42,40,40,1.000,0.000,0.000,-0.045,x 0.01,,3800,0.000,0.000,0.000,0.000
335,356.95 x 359.42,,44,1.000,0.000,0.000,-0.045,x 0.01,,2660,0.000,0.000,0.000,0.000
340,351.95 x 354.42,2,,1.000,0.000,0.000,-0.046,x 0.01,,4120,0.000,0.000,0.000,0.000
345,346.66 x 349.42,, ,1.000,0.000,0.000,-0.047,x 0.01,,2460,0.000,0.000,0.000,0.000
