Date,Open,High,Low,Close,Volume,Adjustment
01-07-26,692.19,693.95,690.98,693.50,20316707.0000000000000000,
01-06-26,687.93,692.32,687.78,691.81,55143640.0000000000000000,
01-05-26,686.54,689.43,686.37,687.72,54699915.0000000000000000,
01-02-26,685.71,686.87,679.82,683.17,69823325.0000000000000000,
12-31-25,687.13,687.36,681.71,681.92,51325618.0000000000000000,
12-30-25,687.45,688.56,686.58,687.01,34365448.0000000000000000,
12-29-25,687.55,689.20,686.07,687.85,44132415.0000000000000000,
12-26-25,690.64,691.66,689.27,690.31,32576889.0000000000000000,
12-24-25,687.95,690.83,687.80,690.38,25999569.0000000000000000,
12-23-25,683.93,688.20,683.87,687.96,46033836.0000000000000000,
12-22-25,683.93,685.36,682.68,684.83,47937101.0000000000000000,
12-19-25,676.60,681.09,676.47,680.59,68125514.0000000000000000,Dividend: 1.99 USD  
12-18-25,677.60,680.74,674.90,676.47,83374722.0000000000000000,
12-17-25,679.89,680.44,671.19,671.40,74936493.0000000000000000,
12-16-25,679.22,681.08,674.98,678.87,72057082.0000000000000000,
12-15-25,685.72,685.76,679.25,680.73,66626702.0000000000000000,
12-12-25,688.17,688.88,679.17,681.76,78695213.0000000000000000,
12-11-25,685.11,689.25,682.16,689.17,61971853.0000000000000000,
12-10-25,682.56,688.97,681.31,687.57,65180166.0000000000000000,
12-09-25,683.16,685.39,682.59,683.04,41731871.0000000000000000,
12-08-25,686.60,686.64,681.57,683.63,40322324.0000000000000000,
12-05-25,685.45,688.39,684.58,685.69,46497834.0000000000000000,
12-04-25,685.30,685.37,681.34,684.39,44867945.0000000000000000,
12-03-25,680.57,684.91,679.69,683.89,41469111.0000000000000000,
12-02-25,681.92,683.82,679.32,681.53,46744365.0000000000000000,
12-01-25,678.80,682.99,678.74,680.27,43413514.0000000000000000,
11-28-25,680.85,683.67,680.50,683.39,29457765.0000000000000000,
11-26-25,677.60,681.70,676.72,679.68,51409678.0000000000000000,
11-25-25,668.63,676.21,664.48,675.02,61578110.0000000000000000,
11-24-25,662.69,670.06,661.59,668.73,54377101.0000000000000000,
11-21-25,655.03,664.55,650.85,659.03,85226739.0000000000000000,
11-20-25,672.91,675.56,651.89,652.53,125931678.0000000000000000,
11-19-25,660.78,667.34,658.74,662.63,70883022.0000000000000000,
11-18-25,662.09,665.12,655.86,660.08,89196241.0000000000000000,
11-17-25,669.70,673.71,662.17,665.67,68985857.0000000000000000,
11-14-25,665.40,675.66,663.26,671.93,72013314.0000000000000000,
11-13-25,680.51,680.86,670.52,672.04,72681503.0000000000000000,
11-12-25,684.81,684.96,680.94,683.38,45339346.0000000000000000,
11-11-25,679.94,683.57,678.73,683.00,41836057.0000000000000000,
11-10-25,677.24,682.18,675.03,681.44,55985746.0000000000000000,
11-07-25,667.91,671.08,661.20,670.97,77825379.0000000000000000,
11-06-25,676.47,677.38,668.72,670.31,63995727.0000000000000000,
11-05-25,674.98,680.86,674.17,677.58,50279981.0000000000000000,
11-04-25,676.11,679.96,674.58,675.24,55056677.0000000000000000,
11-03-25,685.66,685.80,679.94,683.34,40745310.0000000000000000,
10-31-25,685.04,685.08,679.24,682.06,50658185.0000000000000000,
10-30-25,683.90,685.94,679.86,679.83,45830933.0000000000000000,
10-29-25,688.72,689.70,682.87,687.39,54174734.0000000000000000,
10-28-25,687.07,688.91,684.83,687.06,38338700.0000000000000000,
10-27-25,682.73,685.54,682.11,685.24,40740010.0000000000000000,
10-24-25,676.46,678.47,675.65,677.25,39791552.0000000000000000,
10-23-25,668.09,672.72,667.80,671.76,39416478.0000000000000000,
10-22-25,671.98,672.01,663.30,667.80,54001597.0000000000000000,
10-21-25,671.46,672.99,669.98,671.29,36535205.0000000000000000,
10-20-25,667.30,672.21,667.27,671.30,35675591.0000000000000000,
10-17-25,659.52,665.76,658.14,664.39,52537214.0000000000000000,
10-16-25,666.82,668.71,657.11,660.64,69994291.0000000000000000,
10-15-25,666.82,670.23,658.93,665.17,51716289.0000000000000000,
10-14-25,657.18,665.83,653.17,662.23,58229654.0000000000000000,
10-13-25,660.65,665.13,659.76,663.04,53226773.0000000000000000,
10-10-25,672.14,673.95,652.84,653.02,108781231.0000000000000000,
10-09-25,673.52,673.94,669.21,671.16,46510389.0000000000000000,
